shareCode,value(100 million)
000001,2218.1
000002,1833
000004,12.46
000005,18.95
000006,54.81
000007,28.06
000008,69.24
000009,331.43
000010,34.3
000011,61.62
000012,227.54
000014,22.27
000016,123.53
000017,32.12
000019,87.36
000020,26.87
000021,178.38
000023,18.57
000025,76.86
000026,42.09
000027,278.78
000028,137.17
000029,104.4
000030,85.82
000031,148.74
000032,232.14
000034,152.64
000035,133.76
000036,60.84
000037,48.7
000038,24.83
000039,388.26
000040,58.29
000042,55.45
000045,45.79
000046,65.99
000048,95.7
000049,157.63
000050,224.39
000055,56.06
000056,52.5
000058,73.01
000059,121.88
000060,158.47
000061,95.37
000062,119.34
000063,1128.62
000065,85.45
000066,343.55
000068,41.58
000069,400.25
000070,55.49
000078,94.08
000088,107.73
000089,145.19
000090,104.45
000096,43.4
000099,58.26
000100,590.69
000150,13.69
000151,36.71
000153,30.06
000155,325.88
000156,133.04
000157,495.51
000158,102.79
000159,42.97
000166,1019.13
000301,864.26
000333,3192.16
000338,890.98
000400,216.29
000401,220.37
000402,155.13
000403,141.71
000404,37.51
000407,35.91
000408,484.88
000409,46.76
000410,123.06
000411,38.56
000413,108.71
000415,142.86
000416,21.27
000417,36.81
000419,28.7
000420,122.45
000421,28.45
000422,141.41
000423,254.55
000425,576.63
000426,116.66
000428,50.64
000429,152.63
000430,27.53
000488,147.5
000498,114.55
000501,78.59
000503,98.52
000504,42.28
000505,59.32
000506,33.82
000507,52.24
000509,43.57
000510,38.5
000513,336.89
000514,34.34
000516,222.06
000517,95.52
000518,36.14
000519,318.62
000520,34.51
000521,46.45
000523,50.31
000524,70.57
000525,70.97
000526,20.79
000528,122.19
000529,41.1
000530,42.92
000531,53.44
000532,38.02
000533,28.19
000534,81.85
000536,57.26
000537,263.17
000538,1002.29
000539,253.06
000540,108.58
000541,70.69
000543,107.45
000544,64.04
000545,39.37
000546,126.49
000547,169.67
000548,23.01
000550,128.27
000551,39.11
000552,85.02
000553,220.4
000554,25.77
000555,109.38
000557,77.59
000558,43.7
000559,170.81
000560,62.19
000561,48.38
000563,122.09
000564,256.79
000565,27.06
000566,60.98
000567,141.31
000568,2742.11
000570,35.14
000571,20.03
000572,90.46
000573,23.49
000576,53.81
000581,180.14
000582,136.28
000584,53.57
000586,16.33
000587,28.88
000589,53.47
000590,27.68
000591,284.98
000592,53.7
000593,29.69
000595,95.08
000596,1193.05
000597,76.74
000598,146.92
000599,33.49
000600,93.16
000601,53.49
000603,82.93
000605,22.01
000606,16.23
000607,47.22
000608,22.05
000609,19.57
000610,30.97
000612,67.6
000615,47.26
000616,24.03
000617,608.08
000619,24.59
000620,56.71
000622,20.58
000623,167.83
000625,1234.27
000626,49.72
000627,154.64
000628,46.15
000629,455.93
000630,311.59
000631,91.46
000632,20.44
000633,36.2
000635,26.5
000636,174.71
000637,24.12
000638,27.23
000639,43.82
000650,92.68
000651,1751.93
000652,60.2
000655,41.73
000656,115.87
000657,169.07
000659,43.2
000661,688.02
000663,27.91
000665,80.86
000666,57.88
000667,35.52
000668,20.48
000669,11.91
000671,89.02
000672,108.15
000676,76.46
000677,28.08
000678,27.99
000679,18
000680,68.46
000681,81.13
000682,108.46
000683,264.75
000685,101.78
000686,160.09
000688,212.22
000690,116.85
000691,14.84
000692,19.4
000695,27.48
000697,57.69
000698,36.96
000700,50.99
000701,32.24
000702,16.48
000703,262.14
000705,28.87
000707,46
000708,859.53
000709,250.6
000710,46.45
000711,27.74
000712,121.41
000713,53.17
000715,21.45
000716,32.14
000717,71.99
000718,99.84
000719,78.07
000720,65.13
000721,56.24
000722,71.67
000723,411.88
000725,1355.97
000726,70.12
000727,101.01
000728,298.48
000729,316.8
000731,48.21
000732,28.87
000733,625.28
000735,79.45
000736,89.43
000737,102.63
000738,371.01
000739,256.92
000750,185.11
000751,44.97
000752,10.08
000753,42.83
000755,79.09
000756,149.06
000757,27.66
000758,101.82
000759,37.73
000761,127.77
000762,256.78
000766,50.45
000767,108.92
000768,733.97
000776,1166.03
000777,41.25
000778,149.63
000779,39.83
000782,24.72
000783,304.15
000785,246.8
000786,409.54
000788,52.27
000789,68.98
000790,32.25
000791,73.01
000792,1386.47
000793,45.14
000795,80.15
000796,40.95
000797,46.65
000798,36.59
000799,400.31
000800,342.02
000801,74.66
000802,29.71
000803,42.52
000806,23.98
000807,364.83
000809,27.71
000810,201.29
000811,94.8
000812,46.81
000813,82.39
000815,70.29
000816,58.05
000818,204.49
000819,69.63
000820,29.95
000821,128.19
000822,74.2
000823,51.07
000825,253.39
000826,52.93
000828,96.99
000829,110.3
000830,242.46
000831,329.58
000833,46.92
000836,36.13
000837,87.69
000838,57
000839,99.17
000848,87.41
000850,33.12
000851,69.89
000852,58.25
000856,21
000858,5884.52
000859,52.68
000860,207.03
000861,60.5
000862,43.78
000863,58.29
000868,45.69
000869,192.41
000875,174.39
000876,614.55
000877,772.78
000878,215.35
000880,36.81
000881,72.51
000882,47.36
000883,283.08
000885,64.85
000886,44.3
000887,205.37
000888,40.63
000889,17.79
000890,17.83
000892,40.71
000893,260.68
000895,857.85
000897,38.33
000898,252.94
000899,88.1
000900,62.84
000901,65.53
000902,158.5
000903,55.77
000905,50.29
000906,61.87
000908,32.2
000909,41.75
000910,47.79
000911,30.46
000912,77.46
000913,104.1
000915,107.16
000917,71.59
000918,43.3
000919,39.35
000920,40.93
000921,170.07
000922,63.89
000923,73.11
000925,42.69
000926,42.72
000927,164.57
000928,74.81
000929,17.93
000930,154.26
000931,51.21
000932,312.96
000933,376.36
000935,184.52
000936,48.64
000937,229.33
000938,504.23
000948,86.33
000949,49.28
000950,91.53
000951,158.61
000952,27.68
000953,24.9
000955,24.66
000957,87.99
000958,234.72
000959,308.88
000960,229.46
000961,104.47
000962,42.28
000963,757.67
000965,57.38
000966,130.04
000967,156.11
000968,95.69
000969,84.65
000970,169.59
000971,19.5
000972,20.36
000973,44.4
000975,431.78
000976,66.7
000977,331.24
000978,34.78
000980,342.68
000981,216.95
000982,85.66
000983,526
000985,22.95
000987,308.05
000988,179.08
000989,78.49
000990,119.41
000993,50.33
000995,28.83
000996,22.94
000997,142.94
000998,207.55
000999,503.96
001201,64.67
001202,20.48
001203,221.68
001205,46.14
001206,35.02
001207,27.63
001208,53.44
001209,17.94
001210,21.92
001211,16.9
001212,34.49
001213,197.78
001215,52.6
001216,35.41
001217,41.12
001218,26.21
001219,24.01
001226,23.71
001227,228.4
001228,56.92
001230,30.58
001234,26.53
001266,29.32
001267,54.59
001268,25.66
001270,130.93
001288,24.96
001289,1576.65
001296,23.97
001308,187.74
001309,44.8
001313,72.38
001316,33.98
001317,30.14
001318,40.25
001319,33.54
001323,140
001696,73.63
001872,359.37
001896,83.46
001914,169.55
001965,479.43
001979,1183.31
002001,596.55
002002,107.4
002003,100.51
002004,108.5
002005,25.23
002006,140.64
002007,332.95
002008,287
002009,60.65
002010,174.89
002011,131.53
002012,26.7
002013,448.7
002014,52.25
002015,259.57
002016,49.76
002017,62.06
002019,149.82
002020,108.49
002021,13.55
002022,64.08
002023,69.4
002024,188.99
002025,348.6
002026,48.71
002027,823.21
002028,283.17
002029,41.71
002030,248.41
002031,62.68
002032,354.68
002033,55.66
002034,83.32
002035,55.35
002036,147.79
002037,54.1
002038,89.58
002039,58.23
002040,33.15
002041,187.97
002042,54.42
002043,72.49
002044,207.46
002045,63.7
002046,65.98
002047,72.78
002048,119.67
002049,1263.71
002050,843.85
002051,102.83
002052,18.65
002053,102.48
002054,36.11
002055,60.21
002056,302.73
002057,79.24
002058,17.63
002059,67.83
002060,91.37
002061,105.82
002062,63.39
002063,120.81
002064,349.86
002065,194.89
002066,28.51
002067,42.03
002068,107.73
002069,28.16
002072,27.5
002073,63.6
002074,601.26
002075,90.48
002076,18.7
002077,114.68
002078,280.44
002079,114.24
002080,338.98
002081,129.58
002082,62.32
002083,40.53
002084,30.75
002085,148.05
002086,22.39
002087,28.91
002088,110.63
002089,31.21
002090,51.18
002091,145.18
002092,165.93
002093,76.57
002094,25.56
002095,32.98
002096,43.72
002097,71.21
002098,22.02
002099,110.23
002100,117.15
002101,130.95
002102,85.07
002103,28.21
002104,57.56
002105,26.31
002106,57.95
002107,37.4
002108,82.13
002109,54.02
002110,115.71
002111,54.89
002112,23.06
002113,19.18
002114,22.51
002115,39.98
002116,39.13
002117,49.38
002118,33.81
002119,49.09
002120,358.43
002121,135.2
002122,30.49
002123,95.3
002124,115.5
002125,101.54
002126,107.73
002127,116.36
002128,253.46
002129,1399.02
002130,86.18
002131,123.61
002132,64.75
002133,29.03
002134,21.98
002135,81.59
002136,31.41
002137,35.69
002138,197.63
002139,144.9
002140,55.56
002141,53.22
002142,1901.83
002144,18.15
002145,223.63
002146,104.36
002148,32.59
002149,72.3
002150,31.59
002151,151.66
002152,231.2
002153,325.19
002154,53.41
002155,186.44
002156,269.81
002157,127.88
002158,144.38
002159,22.73
002160,35.32
002161,38.99
002162,38.36
002163,94.21
002164,32.14
002165,33.82
002166,78.18
002167,48.06
002168,32.32
002169,69.33
002170,50.72
002171,101.29
002172,30.32
002173,36.61
002174,74.74
002175,45.07
002176,381.36
002177,23.29
002178,32.97
002179,969.99
002180,763.39
002181,50.16
002182,145.38
002183,145.69
002184,40.05
002185,277.19
002186,28.9
002187,50.62
002188,21.18
002189,40.58
002190,92.8
002191,113.99
002192,358.48
002193,16.25
002194,69.37
002195,121.37
002196,39.46
002197,66.66
002198,33.7
002199,17.24
002200,13.7
002201,97.09
002202,482.08
002203,257.64
002204,113.56
002205,20.26
002206,80.11
002207,21.1
002208,57.84
002209,16.79
002210,62.81
002211,11.76
002212,140.79
002213,30.14
002214,81.14
002215,55.41
002216,137.68
002217,86.32
002218,75.74
002219,126.65
002221,135.7
002222,66.6
002223,365.4
002224,34.15
002225,44.96
002226,135.36
002227,34.97
002228,40.26
002229,35.73
002230,802.57
002231,25.6
002232,59.89
002233,87.99
002234,68.75
002235,28.92
002236,363.98
002237,128.58
002238,51.44
002239,86.92
002240,415.19
002241,576.68
002242,121.65
002243,102.54
002244,351.9
002245,192.51
002246,55.29
002247,22.38
002248,32.29
002249,133.22
002250,164.89
002251,50.28
002252,370.74
002253,31.2
002254,134.96
002255,44.98
002256,49.7
002258,158.33
002259,18.81
002261,90.8
002262,200.31
002263,58.42
002264,42.87
002265,44.63
002266,221.77
002267,82.52
002268,301.05
002269,45.23
002270,77.34
002271,788.94
002272,29.1
002273,174.52
002274,74.38
002275,87.67
002276,99.51
002277,52.28
002278,18.78
002279,54.83
002280,66.84
002281,117.85
002282,45.69
002283,61.76
002284,64.18
002285,59.79
002286,33.06
002287,130.28
002288,50.03
002289,22.2
002290,21.19
002291,146.16
002292,72.6
002293,84.58
002294,356.74
002295,17.29
002296,33.78
002297,44.82
002298,52.03
002299,334.82
002300,55.16
002301,55.5
002302,96.07
002303,54.97
002304,2170.06
002305,42.66
002306,38.89
002307,66.08
002308,43.23
002309,39.67
002310,59.62
002311,981.08
002312,230.11
002313,20.82
002314,94.5
002315,44.12
002316,13.72
002317,259.4
002318,168.76
002319,24.02
002320,111.67
002321,50.12
002322,37.04
002323,77.2
002324,179.79
002325,35.83
002326,208.62
002327,57.65
002328,44.07
002329,63.16
002330,40.31
002331,28.92
002332,104.26
002333,37.39
002334,67.37
002335,216.43
002336,34.06
002337,30.55
002338,60.48
002339,33.11
002340,410.33
002341,48.28
002342,40.51
002343,25.03
002344,54.51
002345,38.92
002346,64.51
002347,24.63
002348,22.45
002349,119.36
002350,41.55
002351,78.15
002352,2601.8
002353,348.96
002354,75.45
002355,30.59
002356,74.35
002357,17.81
002358,41.1
002360,29.85
002361,42.67
002362,38.6
002363,30.04
002364,41.59
002365,33.98
002366,49.51
002367,56.58
002368,153.67
002369,30.11
002370,28.77
002371,1253.04
002372,344.85
002373,146.96
002374,51.46
002375,65.39
002376,47.44
002377,27.21
002378,68.02
002379,41.04
002380,37.08
002381,25.31
002382,88.02
002383,56.71
002384,458.93
002385,392.59
002386,77.25
002387,85.62
002388,35.03
002389,230.7
002390,108.66
002391,48.4
002392,44.64
002393,42.18
002394,22.89
002395,34.41
002396,120.16
002397,36.81
002398,43.35
002399,198.97
002400,77.23
002401,39.72
002402,145.01
002403,29.02
002404,36.86
002405,289.98
002406,32.02
002407,262.9
002408,221.45
002409,278.37
002410,637.94
002411,128.1
002412,33.71
002413,66.17
002414,392.25
002415,2846.94
002416,131.86
002417,22.68
002418,36.59
002419,64.4
002420,26.07
002421,63.81
002422,334.82
002423,144.24
002424,101.04
002425,46.88
002426,88.45
002427,32.23
002428,68.64
002429,162.06
002430,373.52
002431,56.56
002432,236.35
002433,31.36
002434,117.48
002435,58.83
002436,194.3
002437,58.91
002438,61.41
002439,236.91
002440,84.56
002441,50.04
002442,28.22
002443,33.94
002444,259.79
002445,56.92
002446,92.9
002448,35.4
002449,54.98
002451,27.32
002452,44.91
002453,109.43
002454,50.79
002455,64.12
002456,172.34
002457,27.7
002458,148.04
002459,1534.87
002460,1782.69
002461,168.43
002462,40.75
002463,235
002465,197.95
002466,1687.34
002467,82.39
002468,157.37
002469,43.93
002470,68.68
002471,35.63
002472,252.65
002474,58.86
002475,2284.35
002476,33.05
002478,59.38
002479,39.53
002480,45
002481,74.3
002482,29.67
002483,55.03
002484,190.56
002485,18.39
002486,29.29
002487,247.55
002488,66.93
002489,76.37
002490,34.95
002491,67.53
002492,24.5
002493,1276.83
002494,16.45
002495,24.33
002496,37.24
002497,328.83
002498,157.02
002499,7.9
002500,197.44
002501,77.39
002502,30.18
002503,37.84
002504,16
002505,183.58
002506,193.06
002507,225.9
002508,244.37
002510,41.53
002511,144.96
002512,42.33
002513,21.05
002514,86.4
002515,39.52
002516,71.19
002517,140.34
002518,287.96
002519,57.11
002520,48.51
002521,25.62
002522,46.38
002523,43.35
002524,40.3
002526,42.43
002527,42.86
002528,62.09
002529,43.89
002530,61.4
002531,241.72
002532,348.43
002533,49.03
002534,129.73
002535,18.68
002536,42.21
002537,103.08
002538,71.95
002539,127.17
002540,69.63
002541,233.84
002542,55.25
002543,75.7
002544,129.33
002545,113.09
002546,32.86
002547,60.69
002548,47.32
002549,130.98
002550,76.4
002551,40.89
002552,66.13
002553,45.21
002554,51.72
002555,362.62
002556,95.88
002557,249.24
002558,160.39
002559,45.19
002560,38.59
002561,35.26
002562,57.5
002563,132.82
002564,40.45
002565,46.43
002566,30.22
002567,86.71
002568,356.21
002569,9.84
002570,52.92
002571,27.55
002572,162.49
002573,87.04
002574,27.46
002575,36.44
002576,21.84
002577,33.8
002578,44.37
002579,52.68
002580,49.11
002581,113.08
002582,32.49
002583,97.16
002584,42.9
002585,149.51
002586,46.23
002587,39.84
002588,69.53
002589,68.01
002590,41.15
002591,18.58
002592,16.86
002593,37.78
002594,7831.27
002595,201.52
002596,35.8
002597,194.41
002598,39.34
002599,25.59
002600,339.97
002601,437.16
002602,295.87
002603,565.03
002605,64.59
002606,45.92
002607,294.8
002608,229.71
002609,55.04
002610,140.66
002611,54.11
002612,97.51
002613,49.58
002614,53.3
002615,30.55
002616,36.58
002617,205.57
002620,22.27
002621,32.64
002622,36.71
002623,64.12
002624,240.94
002625,391.49
002626,117.32
002627,36.91
002628,28.24
002629,19.21
002630,38.73
002631,42.55
002632,41.91
002633,14.75
002634,52.09
002635,92.17
002636,59.33
002637,56.21
002638,36.15
002639,71.85
002640,61.85
002641,58.92
002642,64.69
002643,144.29
002644,55.25
002645,92.7
002646,68.81
002647,39.98
002648,498.27
002649,65.85
002650,47.69
002651,79.78
002652,15.05
002653,237.6
002654,38.99
002655,42.32
002656,21.09
002657,56.27
002658,53.18
002659,26.2
002660,29.85
002661,40.99
002662,54.75
002663,35.74
002664,55.41
002665,98.5
002666,42.54
002667,62.44
002668,65.16
002669,37.2
002670,156.94
002671,25.29
002672,51.53
002673,283.37
002674,35.29
002675,146.12
002676,28.37
002677,72.87
002678,77.85
002679,25.91
002681,70.25
002682,24.8
002683,206.96
002685,47.26
002686,35.05
002687,22.28
002688,42.92
002689,46.64
002690,214.53
002691,19.18
002692,30.16
002693,39.81
002694,34.52
002695,55.64
002696,23.06
002697,69.36
002698,150.62
002699,32.65
002700,20.74
002701,130.98
002702,28.7
002703,74.7
002705,144.93
002706,166.22
002707,76.14
002708,32.13
002709,917.28
002712,25.98
002713,25
002714,2591.36
002715,30.59
002716,75.6
002717,50.88
002718,19.66
002719,13.58
002721,30.62
002722,22.94
002723,39.31
002724,72.68
002725,23.91
002726,109.69
002727,189.91
002728,45.13
002729,64.7
002730,29.33
002731,51.64
002732,27.28
002733,71.58
002734,37.18
002735,50.57
002736,870.89
002737,154.12
002738,403.17
002739,254.11
002740,14.67
002741,78.35
002742,20.09
002743,25.33
002745,130.9
002746,88.21
002747,179.65
002748,27.29
002749,41.59
002750,68.85
002751,11.27
002752,53.54
002753,33
002755,86.78
002756,588.33
002757,36.46
002758,83.7
002759,76.97
002760,22.72
002761,249.25
002762,25.28
002763,31.69
002765,67.63
002766,48.04
002767,17.51
002768,78.53
002769,32.93
002771,23.51
002772,34.31
002773,157.96
002774,22.83
002775,20.51
002776,12.27
002777,68.95
002778,19.4
002779,30.76
002780,18.31
002781,16.2
002782,91.29
002783,35.92
002785,63.95
002786,32.17
002787,20.54
002788,35.98
002789,23.4
002790,37.75
002791,324.02
002792,46.68
002793,97.77
002795,25.26
002796,22.42
002797,245.84
002798,30.18
002799,35.13
002800,21.88
002801,67.26
002802,20.98
002803,52.98
002805,97
002806,22.45
002807,85.8
002808,21.34
002809,21.71
002810,89.79
002811,22.14
002812,1486.04
002813,35.27
002815,96.72
002816,16.27
002817,27.28
002818,92.06
002819,81.25
002820,16.57
002821,573.48
002822,33.04
002823,29.8
002824,66.05
002825,29.95
002826,23.17
002827,27.52
002828,17.85
002829,62.54
002830,16.13
002831,310.61
002832,133.72
002833,69.83
002835,26.49
002836,22.04
002837,139.33
002838,81.93
002839,100.45
002840,96.55
002841,444.27
002842,23.71
002843,45.41
002845,49.07
002846,26.9
002847,123.39
002848,17.83
002849,24.53
002850,245.4
002851,141.86
002852,44.23
002853,38.65
002855,22.78
002856,14.51
002857,17.57
002858,24.76
002859,111.57
002860,49.84
002861,17.39
002862,17.28
002863,28.08
002864,38.23
002865,323.78
002866,115.37
002867,142.47
002868,56.24
002869,41.24
002870,38.57
002871,24.66
002872,16.09
002873,36.03
002875,17.65
002876,74.42
002877,24.24
002878,39.55
002879,28.79
002880,62.48
002881,70.79
002882,56.97
002883,17.08
002884,55.69
002885,57.83
002886,41.42
002887,28.86
002888,18.1
002889,30.99
002890,18.22
002891,64.88
002892,37.68
002893,18.03
002895,121.55
002896,37.49
002897,105.3
002898,21.49
002899,16.04
002900,46.26
002901,161.52
002902,30.51
002903,35.32
002905,30.07
002906,186.98
002907,106.05
002908,49.99
002909,34.63
002910,20.87
002911,113.42
002912,52.15
002913,84.79
002915,64.48
002916,392.71
002917,40.57
002918,70.06
002919,61.03
002920,651.95
002921,20.2
002922,53.76
002923,43.2
002925,142.86
002926,212.36
002927,24.64
002928,119.09
002929,86.66
002930,89.21
002931,20.81
002932,100.64
002933,28.57
002935,70.88
002936,199.2
002937,71.84
002938,700.76
002939,348.98
002940,43.93
002941,84.82
002942,27.28
002943,62.55
002945,386.1
002946,99.25
002947,46.37
002948,187.42
002949,28.33
002950,77.13
002951,39.37
002952,29.15
002953,35.97
002955,65.12
002956,30.41
002957,67.86
002958,162.78
002959,97.2
002960,139.76
002961,65.64
002962,34.13
002963,20.54
002965,95.26
002966,266.2
002967,108.32
002968,49.85
002969,38.68
002970,39.75
002971,31.92
002972,37.12
002973,51.08
002975,51.26
002976,30.18
002977,39.06
002978,145.44
002979,61.39
002980,49.52
002981,22.85
002982,45.85
002983,34.41
002984,186.46
002985,165.63
002986,50.01
002987,95.86
002988,34.61
002989,29.23
002990,73.8
002991,64.97
002992,90.34
002993,105.06
002995,45.58
002996,63.22
002997,49.28
002998,22.78
002999,44.74
003000,44.63
003001,21.72
003002,46.2
003003,18.37
003004,20.48
003005,92.85
003006,58.96
003007,27.72
003008,21.79
003009,66.01
003010,21.13
003011,23.22
003012,97.36
003013,63.16
003015,25.8
003016,36.27
003017,18.86
003018,27.9
003019,35.19
003020,47.21
003021,102.2
003022,435.53
003023,27.62
003025,32.72
003026,42.2
003027,28.51
003028,41.28
003029,62.39
003030,32.11
003031,204.63
003032,63.79
003033,39.24
003035,229.92
003036,28.34
003037,63.58
003038,87.36
003039,107.94
003040,90.47
003041,20.04
003042,48.64
003043,57.06
003816,1363.46
300001,165.26
300002,89.23
300003,445.62
300004,27.84
300005,72.38
300006,45.3
300007,61.99
300008,73.61
300009,171.55
300010,31.17
300011,32.29
300012,352.91
300013,21.04
300014,1745.18
300015,1930.49
300016,35.86
300017,136.82
300018,32.74
300019,71.49
300020,45.64
300021,41.56
300022,19.35
300024,156.42
300025,25.59
300026,207.29
300027,63.54
300029,17.7
300030,23.81
300031,70.12
300032,44.09
300033,518.25
300034,245.12
300035,152.55
300036,92.23
300037,302.77
300039,67.47
300040,38.37
300041,76.09
300042,24.57
300043,42.43
300044,27.65
300045,49.5
300046,38.56
300047,41.58
300048,58.52
300049,56.98
300050,21.17
300051,24.79
300052,54.66
300053,54.28
300054,199.92
300055,75.89
300056,32.77
300057,75.19
300058,140.49
300059,2414.23
300061,49.56
300062,36.63
300063,29
300065,96.73
300066,56.68
300067,34.13
300068,165.02
300069,16.1
300070,185.92
300071,42.52
300072,101.27
300073,316.01
300074,20.23
300075,99.2
300076,22.34
300077,88.34
300078,41.23
300079,76.31
300080,115.66
300081,47.6
300082,59.1
300083,159.87
300084,17.08
300085,70.73
300086,33.8
300087,105.97
300088,162.27
300089,16.79
300091,59.27
300092,33.07
300093,90.53
300094,49.99
300095,44.03
300096,27.74
300097,17.49
300098,60.47
300099,49.47
300100,32.45
300101,155.75
300102,62.89
300103,22.49
